,dataset_name,cls_encoding,classifier,AUC,#event columns,#case columns,#control columns,#eventcase columns,#controlcase columns,#eventcontrol columns,total cols,pars. event,pars. case,pars. control,pars. eventcase,pars. controlcase,pars. eventcontrol,total pars cols,perc_pars_event,perc_pars_case,perc_pars_control,perc_pars_eventcase,perc_pars_controlcase,perc_pars_eventcontrol,perc_event_total,perc_case_total,perc_control_total,perc_eventcase_total,perc_controlcase_total,perc_eventcontrol_total,perc_pars_total,FC event,FC_case,FC control,monotonicity,"shap (event, case, control)","feature importance (event, case, control)",LOD
10,bpic2011_f1,embed,LSTM,0.7948105397798289,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,1.784883154556377,1.6809724311862058,1.6809724311862058,0.5069213421747158,"[4, 5, 1]","[4, 5, 1]",0.0
11,bpic2011_f1,embed,CNN,0.7691984880098655,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,2.169136350352322,2.122593005509433,2.1236754088778724,0.2466320951626588,"[4, 5, 1]","[5, 4, 1]",1.4142135623730951
12,bpic2011_f2,agg,LR,0.9881112237104576,146,760,215,/,/,/,1121,7.0,118.0,9.0,/,/,/,134.0,4.794520547945205,15.526315789473689,4.186046511627907,/,/,/,5.223880597014926,88.05970149253733,6.7164179104477615,/,/,/,11.953612845673506,3.2206759443339963,0.3843605036447978,0.5434062292909212,1.0,/,/,0.0
13,bpic2011_f2,index,LR,0.9641142704155332,2660,760,3139,/,/,/,6559,39.0,148.0,56.99999999999999,/,/,/,244.0,1.466165413533835,19.473684210526315,1.815864925135393,/,/,/,15.98360655737705,60.65573770491803,23.360655737704917,/,/,/,3.720079280378106,3.6713055003313455,0.6626905235255135,0.6494367130550034,1.0,/,/,0.0
14,bpic2011_f2,agg,LLM,0.972269157833317,146,760,215,/,/,/,1121,126.5,542.5,192.5,/,/,/,861.5,86.64383561643835,71.38157894736842,89.53488372093024,/,/,/,14.683691236215903,62.97156123041207,22.344747533372026,/,/,/,76.85102586975914,45.301524188204105,0.3976143141153081,9.966865473823724,1.0,/,/,0.0
15,bpic2011_f2,index,LLM,0.9415619522394292,2660,760,3139,/,/,/,6559,7.5,28.75,9.0,/,/,/,45.25,0.2819548872180451,3.782894736842105,0.2867155144950621,/,/,/,16.574585635359117,63.53591160220994,19.88950276243094,/,/,/,0.6898917517914316,39.85420808482439,77.7998674618953,19.642147117296226,1.0,/,/,0.0
16,bpic2011_f2,agg,GLRM,0.9796763038925248,146,760,215,3,2,1,1127,2.0,3.0,0.0,3,2,1,11.0,1.36986301369863,0.3947368421052631,0.0,100.0,100.0,100.0,18.181818181818183,27.272727272727277,0.0,27.272727272727273,18.181818181818183,9.090909090909092,0.9760425909494232,28.389662027833,34.07554671968191,40.67594433399602,1.0,/,/,0.0
17,bpic2011_f2,index,GLRM,0.9136422105037204,2660,760,3139,3,2,1,6565,0.0,2.0,2.0,3,2,1,10.0,0.0,0.2631578947368421,0.0637145587766804,100.0,100.0,100.0,0.0,20.0,20.0,30.0,20.0,10.0,0.1523229246001523,28.641484426772696,24.87740225314778,40.96752816434725,1.0,/,/,0.0
18,bpic2011_f2,agg,XGB,0.9798511944293564,146,760,215,/,/,/,1121,79.00000000000001,65.0,73.0,/,/,/,217.0,54.10958904109589,8.552631578947368,33.95348837209303,/,/,/,36.40552995391706,29.95391705069125,33.64055299539171,/,/,/,19.35771632471008,40.87475149105368,14.022531477799868,23.803843605036448,0.7650782505326904,"[3, 5, 2]","[1, 7, 2]",2.8284271247461903
19,bpic2011_f2,index,XGB,0.902794586969258,2660,760,3139,/,/,/,6559,308.0,79.0,110.0,/,/,/,497.0,11.578947368421051,10.394736842105264,3.504300732717426,/,/,/,61.971830985915496,15.895372233400405,22.132796780684103,/,/,/,7.577374599786553,21.298873426110006,19.231278992710404,14.10205434062293,0.6764928413441258,"[3, 6, 1]","[1, 7, 2]",2.449489742783178
20,bpic2011_f2,agg,RF,0.9849383261622902,146,760,215,/,/,/,1121,134.0,760.0,207.0,/,/,/,1101.0,91.78082191780824,100.0,96.27906976744184,/,/,/,12.170753860127157,69.02815622161671,18.80108991825613,/,/,/,98.21587867975022,27.634194831013914,28.151093439363816,25.23525513585156,0.0594350905890878,"[3, 3, 4]","[0, 9, 1]",7.3484692283495345
21,bpic2011_f2,index,RF,0.938923584509598,2660,760,3139,/,/,/,6559,2061.0,760.0,1974.0,/,/,/,4795.0,77.4812030075188,100.0,62.88626951258362,/,/,/,42.9822732012513,15.849843587069865,41.167883211678834,/,/,/,73.10565635005337,15.758780649436712,12.379058979456593,46.66666666666666,0.0544546151155681,"[4, 5, 1]","[2, 8, 0]",3.7416573867739413
22,bpic2011_f2,embed,LSTM,0.8925070282350932,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,0.2273267057985274,0.2510772571506124,0.2510772571506124,0.6121617476024303,"[4, 5, 1]","[5, 4, 1]",1.4142135623730951
23,bpic2011_f2,embed,CNN,0.79202750425163,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,0.5089403861161063,0.5089403861161063,0.5089403861161063,-0.1357681566204864,"[4, 5, 1]","[7, 3, 0]",3.7416573867739413
24,bpic2011_f3,agg,LR,0.9872061916037298,132,670,166,/,/,/,968,2.0,97.0,12.0,/,/,/,111.0,1.5151515151515151,14.477611940298509,7.228915662650603,/,/,/,1.8018018018018016,87.38738738738739,10.81081081081081,/,/,/,11.46694214876033,0.0,1.2469337694194604,0.0,1.0,/,/,0.0
25,bpic2011_f3,index,LR,0.9721209440047236,1871,670,1980,/,/,/,4521,509.0,511.00000000000006,577.0,/,/,/,1597.0,27.204703367183324,76.26865671641792,29.141414141414145,/,/,/,31.87226048841578,31.997495303694432,36.1302442078898,/,/,/,35.324043353240434,0.0,0.0,0.0,1.0,/,/,0.0
26,bpic2011_f3,agg,LLM,0.9723951255564603,132,670,166,/,/,/,968,112.5,481.0,148.0,/,/,/,741.5,85.22727272727273,71.7910447761194,89.1566265060241,/,/,/,15.171948752528658,64.86850977747808,19.95954146999326,/,/,/,76.60123966942149,63.450531479967296,1.226492232215863,20.564186426819298,1.0,/,/,0.0
27,bpic2011_f3,index,LLM,0.9670747151079476,1871,670,1980,/,/,/,4521,0.0,21.0,7.0,/,/,/,28.0,0.0,3.1343283582089554,0.3535353535353535,/,/,/,0.0,75.0,25.0,/,/,/,0.6193320061933201,28.47506132461161,11.24284546197874,60.89533932951758,1.0,/,/,0.0
28,bpic2011_f3,agg,GLRM,0.9839755308842564,132,670,166,0,3,1,972,0.0,2.0,3.0,0,3,1,9.0,0.0,0.2985074626865671,1.8072289156626504,0,100.0,100.0,0.0,22.22222222222222,33.333333333333336,0.0,33.333333333333336,11.11111111111111,0.925925925925926,0.4497138184791496,66.9255928045789,35.60915780866721,1.0,/,/,0.0
29,bpic2011_f3,index,GLRM,0.9789244026480386,1871,670,1980,2,0,1,4524,2.0,2.0,1.0,2,0,1,8.0,0.1063602351683591,0.2985074626865671,0.0505050505050505,100.0,0,100.0,25.0,25.0,12.5,25.0,0.0,12.5,0.1768346595932803,15.596892886345056,80.17170891251023,16.49632052330335,1.0,/,/,0.0
30,bpic2011_f3,agg,XGB,0.988525021198716,132,670,166,/,/,/,968,72.0,39.0,48.0,/,/,/,159.0,54.54545454545455,5.82089552238806,28.91566265060241,/,/,/,45.283018867924525,24.52830188679245,30.18867924528302,/,/,/,16.425619834710744,22.75143090760425,9.01471790678659,31.275551921504498,0.8218301678130657,"[1, 6, 3]","[1, 7, 2]",1.4142135623730951
31,bpic2011_f3,index,XGB,0.976994335093406,1871,670,1980,/,/,/,4521,269.0,43.0,88.0,/,/,/,400.0,14.377338321753074,6.417910447761194,4.444444444444445,/,/,/,67.25,10.75,22.0,/,/,/,8.847600088476002,24.38675388389207,21.565821749795585,10.016353229762878,0.73445442617813,"[4, 6, 0]","[2, 8, 0]",2.8284271247461903
32,bpic2011_f3,agg,RF,0.988749937170508,132,670,166,/,/,/,968,120.0,670.0,161.0,/,/,/,951.0,90.9090909090909,100.0,96.98795180722892,/,/,/,12.618296529968454,70.4521556256572,16.929547844374344,/,/,/,98.24380165289256,17.31398201144726,31.152902698282908,31.19378577269011,0.1242991956104626,"[1, 5, 4]","[1, 9, 0]",5.656854249492381
33,bpic2011_f3,index,RF,0.967785935883615,1871,670,1980,/,/,/,4521,1419.0,670.0,1346.0,/,/,/,3435.0,75.84179583110637,100.0,67.97979797979798,/,/,/,41.31004366812227,19.50509461426492,39.18486171761281,/,/,/,75.97876575978766,18.80621422730989,21.07522485690924,9.341782502044154,0.0856945431053538,"[4, 5, 1]","[3, 4, 3]",2.449489742783178
34,bpic2011_f3,embed,LSTM,0.796870029778911,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,3.475580983838622,4.066886870355078,4.063937713813849,0.8146089397229188,"[4, 5, 1]","[4, 5, 1]",0.0
35,bpic2011_f3,embed,CNN,0.8986117993876551,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,4.013802052612952,4.040344461484016,4.040344461484016,0.6820542305964085,"[4, 5, 1]","[5, 4, 1]",1.4142135623730951
36,bpic2011_f4,agg,LR,0.877720341447261,143,759,204,/,/,/,1106,46.0,600.0,85.0,/,/,/,731.0,32.16783216783217,79.05138339920948,41.66666666666666,/,/,/,6.292749658002736,82.07934336525308,11.627906976744184,/,/,/,66.09403254972875,79.98932051795488,0.2002402883460152,0.066746762782005,1.0,/,/,0.0
37,bpic2011_f4,index,LR,0.8698162522608218,2647,759,3064,/,/,/,6470,41.0,155.0,47.99999999999999,/,/,/,244.0,1.5489233094068755,20.42160737812912,1.5665796344647516,/,/,/,16.80327868852459,63.52459016393443,19.67213114754098,/,/,/,3.7712519319938176,0.92110532639167,0.4538779869176345,0.0,1.0,/,/,0.0
38,bpic2011_f4,agg,LLM,0.8838418300239995,143,759,204,/,/,/,1106,119.0,397.5,166.0,/,/,/,682.5,83.21678321678321,52.37154150197628,81.37254901960785,/,/,/,17.435897435897434,58.24175824175824,24.32234432234432,/,/,/,61.70886075949367,52.89013482846082,46.65598718462154,0.1601922306768121,1.0,/,/,0.0
39,bpic2011_f4,index,LLM,0.8724147387611763,2647,759,3064,/,/,/,6470,672.9999999999999,233.50000000000003,774.5,/,/,/,1681.0,25.4246316584813,30.76416337285903,25.27741514360313,/,/,/,40.03569303985722,13.890541344437835,46.073765615704936,/,/,/,25.98145285935085,2.616473101054599,71.83286610599386,0.4271792818048324,1.0,/,/,0.0
40,bpic2011_f4,agg,GLRM,0.7893561233998866,143,759,204,0,1,1,1108,0.0,3.0,0.0,0,1,1,5.0,0.0,0.3952569169960474,0.0,0,100.0,100.0,0.0,60.0,0.0,0.0,20.0,20.0,0.4512635379061371,0.0,60.83299959951943,55.42651181417702,1.0,/,/,0.0
41,bpic2011_f4,index,GLRM,0.7802998079097873,2647,759,3064,0,2,1,6473,0.0,3.0,0.0,0,2,1,6.0,0.0,0.3952569169960474,0.0,0,100.0,100.0,0.0,50.0,0.0,0.0,33.333333333333336,16.666666666666668,0.0926927236211957,0.0,58.02963556267521,56.027232679215054,1.0,/,/,0.0
42,bpic2011_f4,agg,XGB,0.8511613676616979,143,759,204,/,/,/,1106,69.0,152.0,52.0,/,/,/,273.0,48.25174825174825,20.02635046113307,25.49019607843137,/,/,/,25.274725274725277,55.67765567765568,19.047619047619047,/,/,/,24.68354430379747,53.944733680416505,8.917367507675877,7.195301027900147,0.3317114765865438,"[2, 8, 0]","[1, 9, 0]",1.4142135623730951
43,bpic2011_f4,index,XGB,0.8361633484085805,2647,759,3064,/,/,/,6470,189.0,148.0,56.0,/,/,/,393.0,7.140158670192671,19.499341238471672,1.827676240208877,/,/,/,48.09160305343512,37.659033078880405,14.249363867684478,/,/,/,6.0741885625966,44.01281537845414,15.859030837004406,8.436790815645441,0.2765521081439241,"[3, 7, 0]","[2, 8, 0]",1.4142135623730951
44,bpic2011_f4,agg,RF,0.8904474097027821,143,759,204,/,/,/,1106,127.0,759.0,201.0,/,/,/,1087.0,88.81118881118881,100.0,98.52941176470588,/,/,/,11.683532658693652,69.82520699172034,18.491260349586017,/,/,/,98.28209764918626,59.81844880523295,47.08316646642638,34.49472700574022,0.131286775776976,"[0, 9, 1]","[0, 10, 0]",1.4142135623730951
45,bpic2011_f4,index,RF,0.7752561334074186,2647,759,3064,/,/,/,6470,2181.0,759.0,2077.0,/,/,/,5017.0,82.39516433698526,100.0,67.78720626631853,/,/,/,43.472194538568864,15.128562886186964,41.39924257524417,/,/,/,77.54250386398763,42.87812041116006,40.221599252436256,36.64397276732079,0.0724753530016909,"[5, 5, 0]","[0, 10, 0]",7.0710678118654755
46,bpic2011_f4,embed,LSTM,0.8727431690718865,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,2.6868316403272,2.6586721062644663,2.681337097095447,0.6989248299397824,"[4, 5, 1]","[4, 5, 1]",0.0
47,bpic2011_f4,embed,CNN,0.8304151379171074,13,6,1,/,/,/,20,13.0,6.0,1.0,/,/,/,20.0,100.0,100.0,100.0,/,/,/,65.0,30.0,5.0,/,/,/,100.0,1.934079217577044,1.8880624180111123,1.8880624180111123,0.5848474439036341,"[4, 5, 1]","[5, 4, 1]",1.4142135623730951
48,bpic2015_1_f2,agg,LR,0.9085990929808616,88,35,266,/,/,/,389,5.0,6.0,11.0,/,/,/,22.0,5.681818181818182,17.142857142857142,4.135338345864661,/,/,/,22.727272727272727,27.272727272727277,50.0,/,/,/,5.655526992287918,0.1230516817063166,29.983593109105826,0.3691550451189499,1.0,/,/,0.0
49,bpic2015_1_f2,index,LR,0.8878266826920467,1733,35,2448,/,/,/,4216,572.0,32.0,937.0,/,/,/,1541.0,33.00634737449509,91.42857142857144,38.27614379084967,/,/,/,37.11875405580792,2.076573653471772,60.80467229072031,/,/,/,36.55123339658444,25.902378999179653,27.27645611156686,1.251025430680886,1.0,/,/,0.0
50,bpic2015_1_f2,agg,LLM,0.9133902038893033,88,35,266,/,/,/,389,31.666666666666664,13.666666666666668,95.33333333333334,/,/,/,140.66666666666669,35.97727272727273,39.04761904761905,35.83959899749374,/,/,/,22.511848341232223,9.71563981042654,67.77251184834122,/,/,/,36.161096829477295,14.273995077932732,22.579983593109105,55.00410172272354,1.0,/,/,0.0
51,bpic2015_1_f2,index,LLM,0.7433917564837101,1733,35,2448,/,/,/,4216,1394.0,25.5,1505.0,/,/,/,2924.5,80.43854587420658,72.85714285714286,61.47875816993464,/,/,/,47.666267738074886,0.8719439220379552,51.46178833988716,/,/,/,69.36669829222011,77.13289581624282,19.21657095980312,0.5127153404429861,1.0,/,/,0.0
52,bpic2015_1_f2,agg,GLRM,0.892095231580856,88,35,266,0,3,1,393,0.0,0.0,3.0,0,3,1,7.0,0.0,0.0,1.1278195488721805,0,100.0,100.0,0.0,0.0,42.85714285714285,0.0,42.857142857142854,14.285714285714286,1.7811704834605595,0.0,26.866283839212468,94.81132075471696,1.0,/,/,0.0
53,bpic2015_1_f2,index,GLRM,0.4705333867512667,1733,35,2448,0,2,1,4219,1.0,0.0,2.0,0,2,1,6.0,0.0571263704558569,0.0,0.0816993464052287,0,100.0,100.0,16.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,16.666666666666668,0.1422137947380896,92.63740771123872,88.47415914684167,0.0,1.0,/,/,0.0
54,bpic2015_1_f2,agg,XGB,0.9138901827175614,88,35,266,/,/,/,389,64.0,20.0,55.0,/,/,/,139.0,72.72727272727273,57.142857142857146,20.67669172932331,/,/,/,46.0431654676259,14.388489208633093,39.568345323741006,/,/,/,35.732647814910024,15.299425758818703,4.614438063986874,92.12469237079574,0.8697173253678919,"[3, 3, 4]","[2, 4, 4]",1.4142135623730951
55,bpic2015_1_f2,index,XGB,0.7444749896584184,1733,35,2448,/,/,/,4216,347.0,18.0,114.0,/,/,/,479.0,20.023081361800347,51.42857142857143,4.65686274509804,/,/,/,72.44258872651356,3.757828810020877,23.799582463465555,/,/,/,11.361480075901328,41.2428219852338,19.52420016406891,31.91140278917145,0.7680104064305748,"[6, 3, 1]","[3, 4, 3]",3.7416573867739413
56,bpic2015_1_f2,agg,RF,0.9253343235194168,88,35,266,/,/,/,389,86.0,34.0,223.0,/,/,/,343.0,97.72727272727272,97.14285714285714,83.83458646616542,/,/,/,25.07288629737609,9.912536443148689,65.01457725947522,/,/,/,88.17480719794345,6.972928630024611,2.3379819524200167,90.01230516817064,0.3434452836177182,"[2, 1, 7]","[2, 5, 3]",5.656854249492381
57,bpic2015_1_f2,index,RF,0.7100014223067644,1733,35,2448,/,/,/,4216,1416.0,34.0,1544.0,/,/,/,2994.0,81.70802077322563,97.14285714285714,63.071895424836605,/,/,/,47.29458917835672,1.1356045424181698,51.56980627922512,/,/,/,71.01518026565465,6.25512715340443,75.28712059064807,75.28712059064807,0.1424651070261064,"[5, 1, 4]","[5, 5, 0]",5.656854249492381
58,bpic2015_1_f2,embed,LSTM,0.9116420694454848,11,17,1,/,/,/,29,11.0,0.0,1.0,/,/,/,12.0,100.0,0.0,100.0,/,/,/,91.66666666666669,0.0,8.333333333333334,/,/,/,41.37931034482759,3.802467558734924,1.128391828739927,3.871661397289731,0.1885433354475643,"[3, 6, 1]","[0, 9, 1]",4.242640687119285
59,bpic2015_1_f2,embed,CNN,0.8901437398416354,11,17,1,/,/,/,29,11.0,0.0,1.0,/,/,/,12.0,100.0,0.0,100.0,/,/,/,91.66666666666669,0.0,8.333333333333334,/,/,/,41.37931034482759,1.8458787085236164,1.1305208699262288,2.297235440019587,-0.502525126884532,"[3, 6, 1]","[1, 9, 0]",3.7416573867739413
